event_id,sport_key,sport_title,commence_time,completed,home_team,away_team,home_score,away_score,last_update
a2df6ce49133c7ec9805c54c3e792db9,americanfootball_ncaaf,NCAAF,2024-10-29T23:02:00Z,True,Florida International Panthers,New Mexico State Aggies,34.0,13.0,2024-10-31T08:06:05Z
e9f84cca1df90940966cb6f2605c9139,americanfootball_ncaaf,NCAAF,2024-10-29T23:35:00Z,True,Texas State Bobcats,Louisiana Ragin Cajuns,17.0,23.0,2024-10-31T08:06:05Z
c3eb0c718a80f318e8863bfaf93ddd31,americanfootball_ncaaf,NCAAF,2024-10-30T00:03:00Z,True,Sam Houston State Bearkats,Louisiana Tech Bulldogs,9.0,3.0,2024-10-31T08:06:05Z
cab2d273177d7c42eccf0329b1b60b64,americanfootball_ncaaf,NCAAF,2024-10-30T23:03:00Z,True,Liberty Flames,Jacksonville State Gamecocks,21.0,31.0,2024-10-31T08:06:05Z
bfd599645f7e98fa7e465cbd58b2ae5c,americanfootball_ncaaf,NCAAF,2024-10-30T23:35:00Z,True,Western Kentucky Hilltoppers,Kennesaw State Owls,31.0,14.0,2024-10-31T08:06:05Z
aef31b37e609902bd20a33aaf9458044,americanfootball_ncaaf,NCAAF,2024-10-31T23:30:00Z,False,Charlotte 49ers,Tulane Green Wave,,,
3d6bbf6b6a6289f950a2e40e8f16f4be,americanfootball_ncaaf,NCAAF,2024-11-01T23:00:00Z,False,UConn Huskies,Georgia State Panthers,,,
aa350a5df0fe737ab6451fd05cbf1ed0,americanfootball_ncaaf,NCAAF,2024-11-01T23:30:00Z,False,Florida Atlantic Owls,South Florida Bulls,,,
f16b1ab144ed0f547c889e3390df2191,americanfootball_ncaaf,NCAAF,2024-11-02T00:00:00Z,False,Boise State Broncos,San Diego State Aztecs,,,
bbc2ec506b5cd06ff3fe060bfafdeb79,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Army Black Knights,Air Force Falcons,,,
507153f2bd10d440fd62b941efcbae88,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Akron Zips,Buffalo Bulls,,,
33238f885b5c45df396a4ecba23cec39,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Arkansas Razorbacks,Ole Miss Rebels,,,
b311a74d2982edec5dadf8e04b73d92f,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Miami Hurricanes,Duke Blue Devils,,,
64968e0103d02321a7c5aed3115fcf76,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Eastern Michigan Eagles,Toledo Rockets,,,
dea9100ddfff7ce09e45ec70a127bdc6,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Illinois Fighting Illini,Minnesota Golden Gophers,,,
fb87221298e9cc14a67d1008db4a767a,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,UTSA Roadrunners,Memphis Tigers,,,
2fc8a9cf603ad15a1569473304c80208,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,NC State Wolfpack,Stanford Cardinal,,,
300bad7238c6be69705cdbac3980c553,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Purdue Boilermakers,Northwestern Wildcats,,,
bb29983e844e59860c155bce82aa403e,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Penn State Nittany Lions,Ohio State Buckeyes,,,
f66b58e09ec8b2c3cb35b5abca1ed4de,americanfootball_ncaaf,NCAAF,2024-11-02T16:00:00Z,False,Syracuse Orange,Virginia Tech Hokies,,,
896d6a895c826ba0e3e6aef53b33e2a9,americanfootball_ncaaf,NCAAF,2024-11-02T16:45:00Z,False,Auburn Tigers,Vanderbilt Commodores,,,
5958db85c490720e52a5e9a12f60d9ac,americanfootball_ncaaf,NCAAF,2024-11-02T18:30:00Z,False,Appalachian State Mountaineers,Old Dominion Monarchs,,,
d3ed18023d0a8414e55b0a49b432a68d,americanfootball_ncaaf,NCAAF,2024-11-02T18:30:00Z,False,Oklahoma Sooners,Maine Black Bears,,,
7344e726b6f229bdcd96f16f48599bb5,americanfootball_ncaaf,NCAAF,2024-11-02T18:30:00Z,False,UAB Blazers,Tulsa Golden Hurricane,,,
0fbc765026192c14d25b8e7f1c5515b9,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,UCF Knights,Arizona Wildcats,,,
92cd6706e21997567d299f6cf705b0cf,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Georgia Bulldogs,Florida Gators,,,
9c918ec54f03eb25d3cb7e60de63ea42,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Florida State Seminoles,North Carolina Tar Heels,,,
0be5c676d920310d0adbb472b1f0b27f,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Houston Cougars,Kansas State Wildcats,,,
d85259e1c581aae214a54adc8b5658ad,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Michigan State Spartans,Indiana Hoosiers,,,
df3c7f545615664ac1e30aca35b4a11f,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Iowa State Cyclones,Texas Tech Red Raiders,,,
e508a31060e2e536472005cde1facc54,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Marshall Thundering Herd,UL Monroe Warhawks,,,
7553bd444e7fbf9edd3d45812536f459,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Michigan Wolverines,Oregon Ducks,,,
1c0723b13ec3bd0ffd1d2efe393038f1,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,UTEP Miners,Middle Tennessee Blue Raiders,,,
a94bc6c99d77f585071830f1fe7b46e3,americanfootball_ncaaf,NCAAF,2024-11-02T19:30:00Z,False,Nebraska Cornhuskers,UCLA Bruins,,,
7a544195a8edc9e50a80d1eab2159c26,americanfootball_ncaaf,NCAAF,2024-11-02T20:00:00Z,False,Troy Trojans,Coastal Carolina Chanticleers,,,
e068befdace07d4ad52c7e17bc145847,americanfootball_ncaaf,NCAAF,2024-11-02T20:00:00Z,False,Rice Owls,Navy Midshipmen,,,
9fb37cffc5ee5d5182e61dd71e8e68e7,americanfootball_ncaaf,NCAAF,2024-11-02T20:00:00Z,False,New Mexico Lobos,Wyoming Cowboys,,,
4b1198ded9571463e099640f0c979f7a,americanfootball_ncaaf,NCAAF,2024-11-02T20:15:00Z,False,Mississippi State Bulldogs,UMass Minutemen,,,
